What position is this man playing?,What is playing likely to cause ?,fun
Did someone forget his luggage in the snow?,Did someone forget his baggage in the snow?,None
Is there a body of water here?,What is water used to do?,drink
What is in the water?,What is water used to do?,drink
What color is the bear?,What color is the endure?,None
What is the man playing?,What is playing likely to cause ?,fun
Are these giraffes living free range?,What is living likely to cause ?,dying
Are they drinking wine at the child's party?,Are they swallowing wine at the child's party?,None
Are they drinking wine at the child's party?,What is wine used to do?,Drinking
Is the man wearing glasses?,Is the man wearing eyeglass?,None
What type of ice cream is on the plate?,What is cream used to do?,person
Is this bear a normal size?,Is this endure a normal size?,None
What is the bear called?,What is the endure called?,None
Are they playing polo?,What is playing likely to cause ?,fun
Is this man reading a cell phone screen?,What is reading likely to cause ?,learning
What sport is this person playing?,What is playing likely to cause ?,fun
What are they drinking?,What are they swallowing?,None
What brand of beer is visible?,What is beer used to do?,drinking
Will the birds go into the water?,What is water used to do?,drink
How many elephants are in the water?,What is water used to do?,drink
How many stairs are there?,What are stairs used to do?,climbing
Is the water on?,What is water used to do?,drink
What is the blackened meat on the bread?,What is meat used to do?,eat
What kind of meat is this?,What is meat used to do?,eat
Is this meat?,What is meat used to do?,eat
How many kinds of meat products are here?,What is meat used to do?,eat
What kind of potato are the fries?,What is potato likely to be made of?,gnocchi
Is the man wearing formal clothes?,What are clothes used to do?,wearing
Is there a full roll of toilet paper in the bathroom?,What is paper used to do?,drawing
How many rolls of toilet paper are on the toilet tank?,What is paper used to do?,drawing
What shipping company is represented in the scene?,What shipping corporation is represented in the scene?,None
Where are the women walking?,What is walking likely to cause ?,exercise
How many green lights are there?,What are lights used to do?,illuminate
How many lights does the plane have?,What are lights used to do?,illuminate
How many bodies of water are in this scene?,What is water used to do?,drink
What infrastructure would one drive on to go perpendicular to the water?,What is water used to do?,drink
Is the water calm?,What is water used to do?,drink
Is there a travel guide on the table?,Is there a pack guide on the table?,None
Is there a travel guide on the table?,Is there a energy guide on the table?,None
Is the water frozen?,What is water used to do?,drink
Why are there so many clothes on the bed?,What are clothes used to do?,wearing
What color is the girl's hair?,What is hair used to do?,warmth
How many men are playing baseball?,What is playing likely to cause ?,fun
What is the large sculpture next to the oversized cola bottle?,What is bottle likely to be made of?,plastic
What color is the cloth?,What is cloth used to do?,clean
Are the people playing a game?,What is playing likely to cause ?,fun
